Superstar,Rating,Finisher(s),Theme Song
Cody Rhodes,93,Cross Rhodes,Kingdom
Roman Reigns,97,"Spear, Guillotine Choke",I Am Greatness
The Rock,95,"Rock Bottom, Peoples Elbow",Is Cooking
Seth Rollins,93,The Stomp,Visionary
Randy Orton,91,"RKO, Punt Kick",Voices
Gunther,90,Sleeper,Prepare To Fight
Logan Paul,90,One Lucky Punch,Take Flight
Jey Uso,90,"Uso Splash, Spear",Main Event Ish
CM Punk,90,GTS,Cult Of Personality
Bobby Lashley,89,"The Hurt Lock, Spear",All Mighty
Drew McIntyre,89,Claymore,Gallantry
LA Knight,88,BFT,Welcome To LA
Rey Mysterio,88,619,Booyaka 619
Finn Balor,87,Coup De Grace,I Am Danger
Sami Zayn,87,Helluva Kick,Worlds Apart
Solo Sikoa,86,Samoan Spike,Taking It All
Sheamus,86,Brogue Kick,Written In My Face
Damian Priest,86,Razor's Edge,Rise For The Night
Kevin Owens,86,Stunner,Fight
AJ Styles,85,"Phenomenal Forearm, Styles Clash, Calf Crusher",You Dont Want None
Shinsuke Nakamura,84,Kinshasa,The Rising Sun
Jimmy Uso,84,Uso Splash,Born A King
Bronson Reed,84,Tsunami,War Ready
Dominik Mysterio,83,619,It Is My Time
Uncly Howdy,82,Sister Abigail,Shatter
Braun Strowman,82,Running Powerslam,Monster Of All Monsters
The Miz,81,Skull-Crushing Finale,I Came To Play
Chad Gable,80,Chaos Theory,American Made
Kofi Kingston,80,Trouble in Paradise,New Day
Bron Breakker,80,Spear,Breakk And Destroy
Carlito,80,Backstabber,Bad Apple
Julius Creed,79,450 Splash,Brothers
Ivar,79,Samoan Driver,Vicious
Santos Escobar,78,Phantom Driver,Legacy Of The Ghost
Erik,78,Death Rowe,Vicious
Brutus Creed,78,Brutusball,Brothers
Xavier Woods,78,Limit Break,New Day
Dragon Lee,77,Operation Dragon,Control The Empire
Elton Prince,76,Spilt Milk,On And On
Kit Wilson,76,Spilt Milk,On And On
Tyler Bate,76,Tyler Driver '97,Born Animal
Omos,76,Double-handed Chokeslam,The Giant
Montez Ford,76,From The Heavens,Bring The Swag
Tommaso Ciampa,76,Fairy Tale Ending,Its Our Moment
Karrion Kross,75,Final Prayer,Dead Silent
Pete Dunne,75,Better End,Stand Tall
Otis,74,Caterpillar,Shoooosh
Angelo Dawkins,74,Cash-Out,Bring The Swag
Grayson Waller,74,Stunner,Eye On The Prize
Johnny Gargano,74,Gargano Escape,Its Our Moment
Austin Theory,72,A-Town Down,Remember The Name
Ludwig Kaiser,73,Landungbrucken,Sacred
Giovanni Vinci,72,Death Valley Driver,Here And Now
JD McDonagh,71,Devil Inside,Irish Ace
R-Truth,67,Lie Detector,Whats Up?
Akira Tozawa,68,Diving Senton,To The Death
Ilja Dragunov,81,H Bomb,Death Waltz
Andrade,80,The Message,Conquistar
Carmelo Hayes,81,Nothing But Net,Melo Dont Miss
Jacob Fatu,81,BME,Samoan Destroyer
